SO2,CO,PM10,No2,O3,PM2.5
5,23,49,78,35,85
8,22,51,68,33,89
57,20,42,37,11,54
2,18,63,72,22,114
2,18,46,79,32,76
5,18,38,57,44,84
5,18,32,51,50,63
2,17,54,7,43,23
8,17,52,82,19,110
8,17,48,71,24,83
5,17,36,60,44,64
5,16,58,82,14,98
2,16,50,82,31,94
2,16,50,64,35,81
2,16,41,74,37,72
5,16,32,67,24,60
2,15,61,68,27,121
5,15,57,64,16,106
5,15,55,77,29,92
2,15,55,77,27,94
12,15,49,67,34,91
8,15,45,77,28,80
2,15,40,60,51,86
2,15,37,58,43,78
5,15,31,67,25,63
2,15,29,69,19,57
10,14,59,70,16,111
5,14,58,72,8,101
62,14,53,38,25,59
5,14,51,75,19,92
5,14,48,79,5,88
2,14,45,69,36,72
2,14,44,76,31,99
5,14,43,72,38,76
8,14,42,62,30,72
5,14,40,70,32,75
10,14,40,64,24,71
8,14,35,70,21,61
5,14,34,65,36,65
10,14,29,67,26,58
5,14,29,67,25,60
2,14,29,67,21,54
10,12,74,60,11,122
10,12,59,72,9,107
5,12,54,72,12,94
10,12,51,37,44,83
2,12,48,74,21,100
12,12,43,64,34,77
5,12,40,68,35,74
2,12,39,62,33,55
8,12,37,69,37,69
2,12,32,60,34,55
8,12,32,59,45,66
8,12,28,56,39,61
5,12,27,47,19,69
20,11,73,40,71,149
8,11,67,62,9,111
8,11,48,64,34,79
5,11,47,74,33,81
8,11,44,55,39,87
2,11,43,67,32,74
18,11,42,58,38,73
2,11,41,72,36,82
5,11,40,65,31,69
5,11,39,52,67,86
5,11,37,63,24,73
8,11,33,53,44,71
20,11,31,66,27,62
2,11,26,73,28,60
2,11,24,63,29,52
8,10,77,68,54,135
2,10,57,65,12,102
8,10,56,67,7,95
5,10,56,62,40,91
2,10,56,55,18,121
5,10,54,67,42,97
5,10,46,65,29,75
5,10,45,70,41,84
8,10,45,64,31,83
2,10,44,101,30,93
5,10,43,67,29,80
5,10,43,65,44,77
28,10,43,42,31,43
5,10,42,30,39,45
5,10,39,62,35,70
12,10,39,58,21,74
5,10,38,74,25,76
2,10,38,64,49,73
5,10,38,62,30,58
5,10,37,66,41,70
2,10,37,58,35,53
12,10,36,69,29,67
18,10,36,66,23,68
2,10,34,70,31,53
5,10,34,64,35,63
18,10,33,67,29,66
5,10,32,64,41,56
2,10,32,58,25,54
5,10,32,54,40,73
8,10,31,59,46,70
10,10,31,45,50,78
5,10,30,65,50,59
8,10,30,60,21,54
2,10,29,62,39,46
5,10,29,60,20,62
2,10,27,59,36,57
8,10,25,62,25,57
5,10,25,60,10,60
5,10,25,55,18,55
2,10,19,56,51,33
2,10,18,64,24,42
5,10,18,54,24,40
5,9,85,66,50,144
18,9,76,50,115,126
22,9,75,57,50,128
8,9,73,67,40,128
2,9,70,64,17,127
