aqi,so2,co,pm10,no2,o3(8h),pm25,Class
15,2,2,12,10,2,15,1
88,5,14,48,79,5,88,2
20,2,1,20,7,6,11,1
26,2,1,26,12,6,13,1
32,2,3,11,32,6,21,1
32,8,5,12,32,6,24,1
45,2,8,19,45,6,35,1
93,5,7,54,60,6,93,2
62,5,8,17,62,6,51,2
63,2,6,22,63,6,52,2
30,30,1,18,10,7,12,1
20,2,2,17,18,7,20,1
22,2,2,9,22,7,6,1
23,0,3,8,23,7,14,1
118,2,8,71,37,7,118,3
42,0,7,16,42,7,28,1
122,8,6,75,53,7,122,3
57,5,6,26,57,7,57,2
129,8,7,90,58,7,129,3
95,8,10,56,67,7,95,2
120,5,8,70,67,7,120,3
12,2,1,11,12,8,6,1
13,2,2,10,13,8,11,1
32,5,3,9,32,8,27,1
32,0,3,10,32,8,22,1
32,2,5,11,32,8,12,1
74,5,6,43,42,8,74,2
101,5,14,58,72,8,101,3
9,2,1,7,7,9,3,1
28,2,1,25,10,9,28,1
17,2,3,11,17,9,15,1
20,2,3,20,17,9,13,1
18,15,2,11,18,9,10,1
20,2,2,9,20,9,7,1
22,0,2,6,22,9,17,1
33,0,6,17,33,9,11,1
35,5,5,16,35,9,26,1
55,2,7,26,40,9,55,2
109,2,7,65,42,9,109,3
43,0,9,17,43,9,35,1
50,5,5,18,50,9,39,1
53,2,5,17,53,9,46,2
56,10,6,23,56,9,51,2
74,8,7,38,57,9,74,2
87,2,7,69,60,9,87,2
62,5,9,25,62,9,58,2
111,8,11,67,62,9,111,3
93,15,9,63,67,9,93,2
107,10,12,59,72,9,107,3
15,2,1,10,15,10,6,1
15,2,1,14,15,10,4,1
17,0,2,9,17,10,7,1
20,0,2,6,20,10,11,1
22,0,2,7,22,10,14,1
22,0,2,14,22,10,16,1
23,5,1,13,23,10,15,1
25,0,2,6,25,10,7,1
32,18,2,9,32,10,15,1
32,5,6,18,32,10,25,1
35,35,6,9,33,10,19,1
37,0,5,10,37,10,13,1
42,0,5,15,42,10,28,1
50,10,3,22,50,10,21,1
60,5,6,32,50,10,60,2
52,2,6,21,52,10,44,2
91,5,6,56,54,10,91,2
55,2,6,20,55,10,44,2
90,5,6,56,55,10,90,2
85,2,7,56,56,10,85,2
60,5,10,25,60,10,60,2
21,8,1,21,10,11,15,1
15,5,2,15,13,11,14,1
15,2,2,8,15,11,10,1
17,0,2,15,17,11,6,1
18,5,1,7,18,11,14,1
18,0,2,9,18,11,9,1
18,0,2,9,18,11,7,1
23,2,3,17,18,11,23,1
25,2,2,12,20,11,25,1
22,2,1,10,22,11,15,1
23,0,2,7,23,11,13,1
23,0,2,8,23,11,11,1
23,0,2,8,23,11,10,1
25,5,1,15,25,11,17,1
56,56,6,15,25,11,22,2
