aqi,so2,co,no2,pm25,class
18,0,0,0,12,0
28,0,0,0,21,0
30,0,0,0,26,0
43,0,0,0,42,0
17,2,0,0,9,0
18,2,0,0,17,0
20,2,0,0,10,0
22,2,0,0,18,0
26,2,0,0,18,0
38,2,0,0,11,0
19,0,1,0,3,0
26,0,1,0,6,0
28,0,1,0,28,0
34,0,1,0,26,0
36,0,1,0,35,0
38,0,1,0,19,0
40,0,1,0,1,0
43,0,1,0,13,0
44,0,1,0,29,0
45,0,1,0,0,0
45,0,1,0,5,0
48,0,1,0,42,0
48,0,1,0,46,0
48,0,1,0,48,0
50,0,1,0,28,0
51,0,1,0,30,0
55,0,1,0,50,0
55,0,1,0,55,0
60,0,1,0,37,0
67,0,1,0,14,0
87,0,1,0,29,0
33,2,1,0,6,0
34,2,1,0,1,0
37,2,1,0,11,0
42,2,1,0,5,0
42,2,1,0,21,0
43,2,1,0,36,0
44,2,1,0,1,0
46,2,1,0,12,0
46,2,1,0,19,0
48,2,1,0,29,0
49,2,1,0,33,0
67,2,1,0,19,0
45,5,1,0,33,0
37,0,2,0,21,0
44,0,2,0,26,0
74,0,2,0,29,0
38,2,2,0,21,0
41,2,2,0,6,0
80,2,2,0,24,0
77,5,2,0,29,0
13,0,0,2,7,0
14,0,0,2,2,0
14,0,0,2,5,0
14,0,0,2,8,0
14,0,0,2,11,0
15,0,0,2,11,0
15,0,0,2,12,0
16,0,0,2,8,0
16,0,0,2,9,0
16,0,0,2,9,0
17,0,0,2,8,0
17,0,0,2,13,0
18,0,0,2,9,0
18,0,0,2,9,0
18,0,0,2,12,0
18,0,0,2,12,0
19,0,0,2,11,0
20,0,0,2,6,0
20,0,0,2,13,0
21,0,0,2,10,0
21,0,0,2,15,0
21,0,0,2,16,0
21,0,0,2,20,0
22,0,0,2,12,0
22,0,0,2,13,0
22,0,0,2,22,0
23,0,0,2,11,0
23,0,0,2,15,0
23,0,0,2,19,0
24,0,0,2,1,0
24,0,0,2,11,0
24,0,0,2,16,0
24,0,0,2,21,0
25,0,0,2,8,0
25,0,0,2,8,0
27,0,0,2,9,0
28,0,0,2,14,0
31,0,0,2,13,0
41,0,0,2,12,0
44,0,0,2,33,0
45,0,0,2,31,0
52,0,0,2,52,0
13,2,0,2,8,0
14,2,0,2,4,0
17,2,0,2,17,0
18,2,0,2,6,0
18,2,0,2,11,0
19,2,0,2,11,0
19,2,0,2,12,0
19,2,0,2,12,0
19,2,0,2,19,0
20,2,0,2,2,0
20,2,0,2,9,0
21,2,0,2,12,0
21,2,0,2,19,0
22,2,0,2,3,0
22,2,0,2,11,0
22,2,0,2,12,0
23,2,0,2,9,0
23,2,0,2,10,0
23,2,0,2,21,0
23,2,0,2,23,0
24,2,0,2,24,0
25,2,0,2,19,0
26,2,0,2,21,0
27,2,0,2,26,0
28,2,0,2,19,0
30,2,0,2,25,0
31,2,0,2,6,0
31,2,0,2,20,0
17,5,0,2,2,0
21,5,0,2,20,0
15,0,1,2,13,0
20,0,1,2,11,0
20,0,1,2,12,0
23,0,1,2,10,0
24,0,1,2,23,0
26,0,1,2,10,0
26,0,1,2,11,0
27,0,1,2,6,0
27,0,1,2,16,0
29,0,1,2,29,0
31,0,1,2,6,0
31,0,1,2,9,0
31,0,1,2,11,0
31,0,1,2,19,0
31,0,1,2,20,0
32,0,1,2,17,0
32,0,1,2,27,0
32,0,1,2,29,0
33,0,1,2,18,0
34,0,1,2,10,0
34,0,1,2,20,0
34,0,1,2,24,0
35,0,1,2,17,0
35,0,1,2,27,0
35,0,1,2,27,0
36,0,1,2,5,0
36,0,1,2,15,0
37,0,1,2,1,0
37,0,1,2,5,0
37,0,1,2,17,0
37,0,1,2,18,0
37,0,1,2,21,0
37,0,1,2,37,0
38,0,1,2,28,0
38,0,1,2,34,0
39,0,1,2,2,0
39,0,1,2,32,0
40,0,1,2,3,0
40,0,1,2,23,0
41,0,1,2,2,0
41,0,1,2,11,0
42,0,1,2,15,0
42,0,1,2,36,0
43,0,1,2,1,0
44,0,1,2,1,0
44,0,1,2,2,0
44,0,1,2,11,0
44,0,1,2,20,0
44,0,1,2,22,0
45,0,1,2,13,0
45,0,1,2,17,0
45,0,1,2,27,0
45,0,1,2,31,0
46,0,1,2,12,0
46,0,1,2,19,0
46,0,1,2,23,0
46,0,1,2,32,0
47,0,1,2,19,0
47,0,1,2,23,0
48,0,1,2,36,0
49,0,1,2,32,0
49,0,1,2,40,0
49,0,1,2,45,0
50,0,1,2,8,0
50,0,1,2,13,0
50,0,1,2,44,0
51,0,1,2,25,0
51,0,1,2,36,0
51,0,1,2,36,0
51,0,1,2,51,0
61,0,1,2,40,0
61,0,1,2,47,0
71,0,1,2,66,0
74,0,1,2,39,0
80,0,1,2,45,0
80,0,1,2,46,0
87,0,1,2,29,0
93,0,1,2,12,0
97,0,1,2,37,0
100,0,1,2,38,0
100,0,1,2,42,0
108,0,1,2,48,1
112,0,1,2,40,1
126,0,1,2,33,1
18,2,1,2,10,0
19,2,1,2,9,0
20,2,1,2,3,0
20,2,1,2,14,0
21,2,1,2,6,0
24,2,1,2,4,0
24,2,1,2,9,0
24,2,1,2,10,0
25,2,1,2,20,0
26,2,1,2,3,0
26,2,1,2,11,0
26,2,1,2,16,0
26,2,1,2,19,0
27,2,1,2,11,0
27,2,1,2,15,0
28,2,1,2,15,0
28,2,1,2,16,0
29,2,1,2,8,0
29,2,1,2,17,0
29,2,1,2,19,0
31,2,1,2,3,0
31,2,1,2,7,0
31,2,1,2,30,0
32,2,1,2,5,0
32,2,1,2,20,0
33,2,1,2,17,0
33,2,1,2,19,0
33,2,1,2,24,0
34,2,1,2,12,0
34,2,1,2,14,0
34,2,1,2,21,0
35,2,1,2,26,0
35,2,1,2,27,0
36,2,1,2,26,0
37,2,1,2,13,0
37,2,1,2,17,0
37,2,1,2,36,0
38,2,1,2,0,0
38,2,1,2,7,0
38,2,1,2,12,0
38,2,1,2,12,0
38,2,1,2,14,0
39,2,1,2,16,0
39,2,1,2,17,0
39,2,1,2,18,0
39,2,1,2,24,0
40,2,1,2,4,0
40,2,1,2,12,0
40,2,1,2,16,0
40,2,1,2,19,0
41,2,1,2,0,0
41,2,1,2,1,0
41,2,1,2,3,0
41,2,1,2,7,0
41,2,1,2,12,0
41,2,1,2,25,0
42,2,1,2,1,0
42,2,1,2,12,0
42,2,1,2,19,0
42,2,1,2,26,0
43,2,1,2,2,0
43,2,1,2,13,0
43,2,1,2,16,0
43,2,1,2,18,0
43,2,1,2,18,0
43,2,1,2,27,0
43,2,1,2,40,0
44,2,1,2,5,0
44,2,1,2,10,0
44,2,1,2,12,0
44,2,1,2,16,0
44,2,1,2,16,0
44,2,1,2,17,0
44,2,1,2,18,0
44,2,1,2,23,0
44,2,1,2,35,0
45,2,1,2,19,0
45,2,1,2,26,0
45,2,1,2,28,0
45,2,1,2,39,0
45,2,1,2,45,0
46,2,1,2,6,0
46,2,1,2,30,0
47,2,1,2,18,0
48,2,1,2,23,0
48,2,1,2,25,0
49,2,1,2,21,0
49,2,1,2,27,0
50,2,1,2,29,0
54,2,1,2,23,0
58,2,1,2,58,0
61,2,1,2,31,0
67,2,1,2,15,0
74,2,1,2,4,0
75,2,1,2,61,0
77,2,1,2,18,0
23,5,1,2,6,0
39,5,1,2,20,0
39,5,1,2,37,0
46,5,1,2,22,0
46,5,1,2,35,0
47,5,1,2,37,0
54,5,1,2,43,0
37,8,1,2,30,0
65,8,1,2,65,0
22,10,1,2,10,0
34,0,2,2,31,0
36,0,2,2,11,0
36,0,2,2,28,0
44,0,2,2,18,0
45,0,2,2,7,0
45,0,2,2,17,0
47,0,2,2,14,0
47,0,2,2,19,0
48,0,2,2,18,0
49,0,2,2,8,0
50,0,2,2,19,0
61,0,2,2,4,0
61,0,2,2,6,0
67,0,2,2,6,0
77,0,2,2,57,0
38,2,2,2,7,0
38,2,2,2,8,0
38,2,2,2,12,0
39,2,2,2,11,0
42,2,2,2,14,0
43,2,2,2,1,0
43,2,2,2,16,0
43,2,2,2,19,0
43,2,2,2,26,0
44,2,2,2,6,0
44,2,2,2,6,0
44,2,2,2,7,0
44,2,2,2,12,0
44,2,2,2,14,0
45,2,2,2,2,0
45,2,2,2,8,0
45,2,2,2,34,0
46,2,2,2,8,0
46,2,2,2,15,0
46,2,2,2,40,0
47,2,2,2,18,0
47,2,2,2,28,0
47,2,2,2,32,0
48,2,2,2,16,0
48,2,2,2,21,0
48,2,2,2,24,0
49,2,2,2,18,0
50,2,2,2,26,0
51,2,2,2,10,0
54,2,2,2,43,0
58,2,2,2,43,0
58,2,2,2,46,0
61,2,2,2,24,0
61,2,2,2,37,0
61,2,2,2,44,0
64,2,2,2,42,0
67,2,2,2,40,0
74,2,2,2,27,0
84,2,2,2,35,0
100,2,2,2,25,0
100,2,2,2,63,0
140,2,2,2,57,1
49,5,2,2,38,0
64,5,2,2,53,0
71,5,2,2,28,0
40,0,3,2,10,0
44,0,3,2,6,0
44,0,3,2,35,0
64,0,3,2,11,0
177,0,3,2,65,1
35,2,3,2,12,0
40,2,3,2,11,0
42,2,3,2,11,0
43,2,3,2,9,0
44,2,3,2,8,0
74,2,3,2,59,0
13,0,0,3,4,0
13,0,0,3,9,0
15,0,0,3,11,0
16,0,0,3,11,0
16,0,0,3,13,0
17,0,0,3,11,0
17,0,0,3,14,0
19,0,0,3,6,0
19,0,0,3,7,0
19,0,0,3,13,0
20,0,0,3,4,0
21,0,0,3,11,0
22,0,0,3,8,0
22,0,0,3,13,0
30,0,0,3,18,0
30,0,0,3,22,0
31,0,0,3,31,0
37,0,0,3,2,0
44,0,0,3,18,0
13,2,0,3,8,0
16,2,0,3,14,0
17,2,0,3,7,0
18,2,0,3,11,0
19,2,0,3,4,0
20,2,0,3,10,0
20,2,0,3,13,0
23,2,0,3,13,0
26,2,0,3,19,0
33,2,0,3,31,0
37,2,0,3,4,0
37,2,0,3,6,0
39,2,0,3,24,0
44,2,0,3,22,0
45,2,0,3,39,0
17,8,0,3,6,0
15,0,1,3,6,0
20,0,1,3,15,0
22,0,1,3,14,0
23,0,1,3,1,0
24,0,1,3,15,0
25,0,1,3,11,0
25,0,1,3,13,0
26,0,1,3,5,0
28,0,1,3,26,0
29,0,1,3,13,0
29,0,1,3,16,0
30,0,1,3,6,0
30,0,1,3,8,0
30,0,1,3,17,0
31,0,1,3,4,0
31,0,1,3,15,0
31,0,1,3,19,0
32,0,1,3,11,0
33,0,1,3,12,0
33,0,1,3,13,0
34,0,1,3,10,0
34,0,1,3,21,0
35,0,1,3,19,0
36,0,1,3,0,0
36,0,1,3,12,0
36,0,1,3,34,0
36,0,1,3,36,0
36,0,1,3,36,0
37,0,1,3,26,0
37,0,1,3,31,0
38,0,1,3,6,0
38,0,1,3,6,0
39,0,1,3,6,0
39,0,1,3,15,0
39,0,1,3,22,0
40,0,1,3,34,0
41,0,1,3,3,0
41,0,1,3,3,0
42,0,1,3,5,0
42,0,1,3,23,0
42,0,1,3,42,0
43,0,1,3,28,0
43,0,1,3,31,0
44,0,1,3,12,0
44,0,1,3,15,0
44,0,1,3,16,0
45,0,1,3,29,0
45,0,1,3,32,0
46,0,1,3,23,0
46,0,1,3,30,0
47,0,1,3,13,0
47,0,1,3,17,0
47,0,1,3,30,0
47,0,1,3,41,0
49,0,1,3,31,0
49,0,1,3,35,0
49,0,1,3,46,0
50,0,1,3,30,0
50,0,1,3,36,0
54,0,1,3,26,0
54,0,1,3,28,0
54,0,1,3,30,0
58,0,1,3,30,0
58,0,1,3,37,0
64,0,1,3,49,0
65,0,1,3,44,0
67,0,1,3,37,0
71,0,1,3,36,0
71,0,1,3,43,0
74,0,1,3,31,0
74,0,1,3,34,0
74,0,1,3,36,0
80,0,1,3,28,0
87,0,1,3,6,0
101,0,1,3,31,1
104,0,1,3,29,1
112,0,1,3,44,1
14,2,1,3,10,0
15,2,1,3,9,0
16,2,1,3,6,0
16,2,1,3,9,0
16,2,1,3,10,0
17,2,1,3,9,0
17,2,1,3,10,0
19,2,1,3,6,0
19,2,1,3,12,0
19,2,1,3,12,0
21,2,1,3,7,0
21,2,1,3,15,0
21,2,1,3,15,0
21,2,1,3,21,0
22,2,1,3,3,0
22,2,1,3,3,0
22,2,1,3,11,0
24,2,1,3,19,0
24,2,1,3,21,0
24,2,1,3,24,0
25,2,1,3,5,0
26,2,1,3,11,0
26,2,1,3,15,0
26,2,1,3,22,0
28,2,1,3,10,0
29,2,1,3,26,0
30,2,1,3,13,0
30,2,1,3,16,0
30,2,1,3,23,0
30,2,1,3,26,0
31,2,1,3,6,0
31,2,1,3,9,0
31,2,1,3,13,0
31,2,1,3,13,0
31,2,1,3,14,0
31,2,1,3,27,0
32,2,1,3,8,0
32,2,1,3,11,0
32,2,1,3,19,0
32,2,1,3,32,0
33,2,1,3,33,0
34,2,1,3,11,0
34,2,1,3,14,0
34,2,1,3,17,0
34,2,1,3,19,0
35,2,1,3,11,0
35,2,1,3,20,0
37,2,1,3,30,0
39,2,1,3,12,0
40,2,1,3,23,0
40,2,1,3,40,0
41,2,1,3,3,0
41,2,1,3,8,0
41,2,1,3,18,0
41,2,1,3,19,0
41,2,1,3,28,0
41,2,1,3,32,0
42,2,1,3,10,0
42,2,1,3,16,0
42,2,1,3,25,0
43,2,1,3,13,0
43,2,1,3,43,0
44,2,1,3,10,0
44,2,1,3,23,0
