pH,Cond,Turb,SS,class
7.95,401,550,535,0
8.08,2570,180,364,1
8.1,274,220,349,0
8.22,392,400,275,0
7.23,3020,210,275,1
7.23,3020,210,275,1
7.96,490,100,221,0
8.86,1490,110,128,1
9.1,472,39,116,1
9.6,1830,110,111,1
8.54,502,120,110,1
7.8,334,170,109,0
7.88,186,170,106,1
7.8,190,140,106,1
9.65,558,32,99,1
9.27,1590,100,98,1
8.5,439,110,96.2,0
8.62,455,150,94.3,1
7.92,385,180,93.3,1
8.84,423,110,91.3,1
8.1,272,85,89.4,0
8.02,1730,75,89,1
8.3,468,110,87.3,0
7.79,267,85,87,0
8.34,1230,80,83.5,1
8.7,481,130,83.3,1
7.66,240,80,81.8,0
7.9,331,150,81.6,0
8.66,448,60,80.1,1
7.4,751,50,79,1
8.2,622,70,78.2,0
9.02,1470,80,77.5,1
9.02,1470,80,77.5,1
7.82,197,160,77,0
8.98,818,80,77,1
8.04,420,110,76.7,1
7.9,824,75,72.5,1
8.4,458,100,72.4,0
8.98,1540,100,71.5,1
7.77,303,140,71.3,0
8.76,1200,60,69.5,1
8.6,2120,110,69,1
9.24,1500,75,68.5,1
9.4,1670,55,68,1
7.58,922,31,67.5,1
8.09,413,85,67.4,1
8.86,1570,110,67.3,1
9.45,2440,60,66.8,1
9.7,1200,65,66.2,1
10.28,480,100,66,1
8.4,460,85,66,0
9.32,1520,75,65.5,1
9.6,2280,60,65.2,1
7.8,307,130,64.2,0
7.8,198,120,63.7,0
8.9,459,55,63.5,1
9.82,634,80,61.2,1
7.82,162,90,60.8,0
7.82,162,90,60.8,0
8.86,1360,45,60.3,1
8.2,595,40,60,1
8.78,1230,75,59,1
9.09,690,60,58.6,1
7.88,158,100,57.6,0
7.88,158,100,57.6,0
8.5,437,50,57.4,0
7.99,404,85,56.8,1
8.54,462,65,55.8,0
8.31,464,55,55.4,0
8.8,1010,55,55.2,1
8.4,521,55,55,0
8.28,361,85,54.7,0
8.28,556,40,54.5,0
8.44,476,60,54.2,0
8.2,372,85,53.8,0
9.46,1750,70,53.5,1
8.96,2730,50,53.5,1
8.1,620,19,53.5,1
8.26,1060,38,52.8,1
8.26,1060,38,52.8,1
7.94,159,100,52.4,0
7.94,159,100,52.4,0
7.89,159,100,51.5,0
7.89,159,100,51.5,0
9.06,5750,45,51.3,1
9.06,5750,45,51.3,1
9.12,496,65,51,1
9.12,496,65,51,1
7.83,164,95,50.5,0
7.83,164,95,50.5,0
8.2,628,45,50.5,0
7.92,162,100,49.8,0
7.92,162,100,49.8,0
9.1,229,28,49.3,1
8.4,461,60,49.2,0
7.94,593,26,49,1
9.07,1100,45,48.5,1
8.5,549,20,48.4,1
8.03,926,40,48.2,1
7.5,737,26,47.2,1
7.8,343,45,46.6,0
8.06,816,45,46.5,1
8.3,648,55,46.1,1
8.02,367,55,46,0
9,886,45,46,1
8.32,357,95,45.7,0
8.62,669,55,45.7,1
9.3,1290,45,45.5,1
8.36,525,45,45.2,0
8.24,233,50,45.1,0
8.2,548,45,45,0
8.07,408,45,45,0
8.68,414,39,44,1
8.68,414,39,44,1
8.06,665,39,43.8,1
8.28,261,34,43.6,0
9,1190,50,43.5,0
8.76,449,40,43.5,1
7.53,288,65,43.3,0
8.4,527,45,42.7,0
7.66,281,50,42.2,0
8.38,557,23,42.1,1
8.46,1010,45,42,1
8.9,1410,35,42,1
8.01,240,75,41.8,0
9.53,670,21,41.6,1
9.05,658,60,41.5,1
8.54,972,40,41.2,1
8.26,172,70,41.1,0
8.41,1960,40,41,1
8.2,307,40,41,0
9,1470,39,41,1
8.31,571,35,41,1
8.31,571,35,41,1
8.36,712,28,41,1
7.6,248,36,40.9,0
9.18,905,50,40.8,1
8.37,582,38,40.7,1
9.01,1390,28,40.5,1
9.01,1390,28,40.5,1
8.25,219,65,40.4,0
8.58,4670,28,40,0
8.22,173,70,39.8,0
8.58,1510,15,39.7,0
8.4,467,50,39.6,0
7.92,353,45,39.5,0
8.5,478,50,39.4,1
8.28,560,25,39.2,1
8.47,304,40,39.1,0
8.1,375,60,39,0
7.5,390,45,39,1
8.15,404,40,39,0
8.81,1440,23,39,1
8.46,3110,40,38.8,1
8.46,3110,40,38.8,1
8.93,1430,24,38.7,1
8.14,354,45,38.6,1
8.64,906,31,38.5,1
8.4,1120,45,38,1
8.96,544,38,38,1
9.33,377,55,37.8,1
9.75,438,38,37,0
8.46,768,22,36.8,1
8.7,459,31,36.5,0
8.4,473,55,36.4,0
8.4,536,36,36.4,0
8.48,480,40,36.2,1
8.88,598,45,36,1
9.24,491,32,36,0
9,1070,35,35.8,1
8.3,583,32,35.5,1
8.62,434,31,35.5,1
9,1980,22,35.5,0
9,1390,19,35.5,0
8.58,1070,29,35.2,1
8.58,1070,29,35.2,1
8.37,178,60,35.1,0
8.72,460,40,35,1
8.72,460,40,35,1
8.32,372,38,35,0
8.2,462,33,35,1
8.2,723,24,34.9,0
9.4,972,31,34.8,0
8.28,188,60,34.6,0
9.4,1110,32,34.5,1
9.18,510,36,34.2,1
9.18,510,36,34.2,1
7.82,250,36,34.1,0
8.3,216,65,34,1
9.38,430,38,34,0
9.2,423,33,34,1
7.62,246,31,34,0
8.47,517,35,33.9,0
7.86,589,14,33.6,0
9.02,488,33,33.5,1
9.02,488,33,33.5,1
7.68,348,24,33.2,0
8.7,1470,19,33,0
8.12,1480,38,32.8,1
8.62,518,35,32.8,1
8.81,464,29,32.8,1
8.77,550,40,32.6,1
8.2,554,25,32.6,1
9.17,1240,20,32.6,0
9.17,1240,20,32.6,0
8.52,638,16,32.6,1
8.52,638,16,32.6,1
8.9,1590,16,32.5,0
8.6,549,14,32.4,1
9.63,374,37,32.2,1
8.48,1040,34,32.2,1
8.48,1040,34,32.2,1
8.32,177,55,31.7,0
8.38,183,55,31.5,0
8.61,1210,28,31.5,1
8.57,490,19,31.5,1
9.1,1260,16,31.5,0
8.4,703,12,31.5,1
7.78,618,25,31.4,1
8.8,1300,16,31.4,1
8.2,577,50,31.1,0
8.7,1420,16,31,0
8.3,460,33,30.9,0
8.3,460,33,30.9,0
9.44,462,32,30.5,1
9.44,462,32,30.5,1
8.78,474,22,30.4,1
7.96,326,37,30.2,0
8.7,658,32,30.2,1
8.6,1750,17,30.2,0
8.18,336,26,29.9,0
8.18,336,26,29.9,0
7.9,662,23,29.8,1
8.23,568,16,29.8,1
8.23,568,16,29.8,1
7.87,414,30,29.6,1
9.05,534,19,29.6,1
9.35,451,31,29.5,1
9.3,496,15,29.5,1
8.86,248,34,29.4,0
9.88,401,38,29.2,0
7.94,326,36,29.2,0
8.12,230,39,29,0
8.68,399,26,28.8,1
8.8,1540,10,28.7,0
9.4,500,36,28.5,1
8.34,694,17,28.5,1
8.9,450,17,28.5,1
8.45,387,32,28.3,1
8.45,387,32,28.3,1
8.35,519,31,28.2,0
9.13,584,27,28.2,1
9,595,18,28.2,1
8.62,636,17,28.2,1
8.62,636,17,28.2,1
7.97,284,34,28.1,0
8.3,253,31,28,0
8.08,638,28,28,1
8.08,638,28,28,1
7.6,566,27,28,0
8.8,523,26,28,1
8.92,393,26,27.8,1
8.98,1270,15,27.8,0
9.59,578,13,27.8,1
8.1,460,11,27.8,0
7.9,1100,34,27.7,0
9.12,373,30,27.7,1
7.66,916,23,27.7,1
7.78,714,22,27.7,1
8.12,225,37,27.6,0
7.49,336,19,27.5,1
7.35,143,45,27.3,0
7.99,590,20,27.3,0
8,311,45,27.2,0
9.7,637,27,27.2,1
8.84,1510,23,27.2,0
7.8,655,18,27.2,1
8.25,808,9.8,27.2,0
7.94,435,16,27.1,1
9.13,436,38,27,1
8.98,661,30,27,0
8.3,364,15,26.9,1
7.7,230,38,26.8,0
9.39,1050,34,26.8,1
8,567,29,26.8,0
9.06,1050,24,26.8,1
9.06,1050,24,26.8,1
8.15,705,24,26.8,1
9.56,448,45,26.7,1
8.58,1680,20,26.7,0
8.46,513,30,26.6,0
8.95,732,29,26.6,1
8.5,1350,19,26.6,0
9.34,570,5.8,26.6,0
8.8,976,36,26.5,1
8.33,534,29,26.5,1
8.97,425,27,26.5,1
8,1070,26,26.5,1
8.93,383,26,26.5,1
8.93,383,26,26.5,1
8,363,26,26.5,0
8.9,1130,25,26.5,1
8,506,23,26.5,1
8.36,774,32,26.4,1
9.1,782,16,26.2,1
9.07,537,16,26.2,1
8.8,664,27,26.1,0
8.95,408,27,26,1
9.04,1490,21,26,1
8.95,1200,18,26,1
8.97,7070,16,26,0
8.97,7070,16,26,0
8.16,706,16,26,1
8.51,466,19,25.9,1
8.54,461,26,25.8,1
9.1,1100,14,25.8,0
7.98,420,34,25.7,0
7.7,1100,21,25.6,1
8.94,408,30,25.5,1
8.6,352,26,25.5,1
8.6,879,16,25.5,1
8.96,360,22,25.3,1
9.09,587,27,25.2,1
8.7,466,26,25.2,1
8.42,465,25,25.2,1
8.89,1180,12,25.2,0
8.89,1180,12,25.2,0
8.53,2340,26,25.1,0
8.62,254,22,25.1,0
8.62,254,22,25.1,0
8.93,506,36,25,1
8.34,1350,30,25,1
8.1,505,29,25,0
8.74,884,27,25,1
8.9,1660,22,25,1
8.7,1790,90,24.8,1
8.27,479,27,24.8,1
9.13,581,25,24.8,1
7.8,1300,22,24.8,1
8.6,975,20,24.8,0
8.15,621,20,24.8,0
7.9,328,19,24.6,0
8.4,503,26,24.4,0
8.92,437,19,24.4,1
8.7,531,16,24.4,1
9.9,3110,12,24.4,1
8.8,462,21,24.3,0
8.58,413,18,24.1,1
8.57,584,21,24,1
8.98,1280,17,24,0
9.6,739,14,24,1
8.71,1160,11,24,0
8.71,1160,11,24,0
7.62,725,5.3,24,0
8.09,290,24,23.9,0
8.5,465,27,23.8,0
8.77,506,24,23.8,0
9.14,251,24,23.8,0
8.9,1160,23,23.8,1
8,504,22,23.8,1
9.1,438,22,23.8,0
8.3,663,15,23.8,1
8.9,1640,14,23.8,0
7.87,1130,13,23.8,1
8.48,472,28,23.7,0
8.96,468,25,23.7,1
8.1,430,22,23.7,1
9.04,569,17,23.7,0
7.53,238,28,23.6,0
8.98,1280,19,23.6,0
8.98,1280,19,23.6,0
8.4,1630,3.1,23.6,0
8.2,583,40,23.5,0
8.42,463,29,23.5,0
8.33,449,22,23.5,1
7.78,824,15,23.5,1
8.62,232,36,23.4,0
8.25,377,27,23.4,0
8.11,593,15,23.4,1
9.09,307,4.1,23.4,0
8.08,407,26,23.3,0
9.34,964,23,23.3,1
7.8,732,15,23.2,1
8.11,727,14,23.2,1
8.8,698,13,23.2,0
8.14,638,22,23.1,0
8.43,553,18,23.1,1
9.83,1270,34,23,0
7.68,343,26,23,0
8.48,751,25,23,1
8.54,690,22,23,0
8.64,1180,20,23,0
8.59,610,8.9,23,1
9.1,470,22,22.8,1
9.15,267,18,22.8,1
9.15,267,18,22.8,1
9.74,558,15,22.8,0
8.4,463,13,22.8,1
8.26,200,70,22.7,0
8.26,200,70,22.7,0
8.94,442,26,22.7,1
8.3,434,20,22.7,1
9.65,446,15,22.7,1
8.52,726,13,22.7,1
8.08,294,4.8,22.6,0
8.86,232,34,22.5,0
9.02,498,31,22.5,0
7.84,758,17,22.5,1
8.81,480,22,22.4,0
8.28,724,16,22.4,1
8.69,650,13,22.4,1
8.62,381,29,22.3,1
8.9,624,11,22.3,1
9.14,940,33,22.2,1
8.2,296,20,22.2,0
8.12,652,19,22.2,0
8.3,626,14,22.2,1
8.21,698,7.1,22.1,1
9.6,535,45,22,1
8.19,226,30,22,0
8.93,705,24,22,0
8.9,266,20,22,0
9.6,861,15,22,1
8.3,462,14,22,1
7.8,645,13,22,1
7.85,740,12,22,1
8.12,532,11,22,0
8.12,532,11,22,0
8.69,4080,10,22,0
7.48,148,40,21.9,0
7.96,580,16,21.9,1
7.88,420,15,21.9,0
8.3,364,26,21.8,0
8.07,670,20,21.8,1
9.06,628,13,21.8,1
8.7,1570,9.2,21.8,0
8.6,464,22,21.7,1
8.62,282,24,21.6,0
8.18,612,21,21.5,0
8.8,440,17,21.5,1
9.2,458,12,21.5,1
7.84,738,11,21.5,1
8.4,410,21,21.4,0
8.3,337,19,21.4,0
8.3,337,19,21.4,0
8.21,593,14,21.4,1
8.16,508,13,21.4,0
8.16,508,13,21.4,0
8.51,519,35,21.3,1
8.18,274,26,21.3,0
7.94,628,19,21.3,1
8.12,701,17,21.3,1
7.7,560,11,21.3,1
8.76,577,22,21.2,0
9.05,4090,20,21.2,1
7.97,421,19,21.2,1
8.26,698,16,21.2,1
8.26,698,16,21.2,1
8.96,1620,15,21.2,0
9.1,867,15,21.2,0
9.1,1430,10,21.2,0
9.1,253,25,21.1,1
8.92,475,23,21.1,0
8.36,503,20,21.1,0
8.36,287,18,21.1,0
9.16,620,13,21.1,1
8.54,399,28,21,0
